Nome do jogo;Gênero;Desenvolvedora;Console;Data de conclusão;Tempo (em float);Ano de lançamento
1943: The Battle of Midway (Capcom Arcade Stadium);Shmup;Capcom;Arcade;30/11/22;1,33;1987
Ghost'n Goblins (Capcom Arcade Stadium);Plataforma;Capcom;Arcade;01/12/22;1,25;1985
Hanna Barbera Turbo Toons;Corrida;Empire Software;Super Nintendo;02/12/22;0,17;1994
Tekken ;Luta;Namco Bandai;PlayStation;02/12/22;0,38;1994
Virtua Fighter 2;Luta;SEGA;Sega MegaDrive;02/12/22;0,53;1993
Dead or Alive;Luta;Tecmo;PlayStation;03/12/22;0,38;1996
Bushido Blade;Luta;Square Enix;PlayStation;03/12/22;0,25;1997
Soul Edge (Blade);Luta;Namco Bandai;PlayStation;03/12/22;0,3;1995
Mortal Kombat 4;Luta;Midway;PlayStation;04/12/22;0,33;1997
Golden Axed: A Cancelled Prototype ;Beat 'em Up;SEGA;PC;04/12/22;0,08;2020
Alex Kidd in the Enchanted Castle (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;05/12/22;1;1989
Alien Storm (SEGA Classics);Beat 'em Up;Treasure;Sega MegaDrive;07/12/22;1;1990
Streets of Rage (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;08/12/22;1;1991
Streets of Rage 2 (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;09/12/22;1;1992
Streets of Rage 3 (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;09/12/22;1,1;1994
Altered Beast (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;10/12/22;0,33;1988
Final Fight (Capcom Arcade Stadium);Beat 'em Up;Capcom;Arcade;10/12/22;1;1989
Ultimate Marvel Vs. Capcom 3;Luta;Capcom;PC;10/12/22;0,83;2011
Vectorman (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;11/12/22;1;1995
Vectorman 2 (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;12/12/22;1;1996
Ikari Warriors (SNK 40th Anniversary Collection);Shmup;SNK Games;Arcade;16/12/22;0,75;1986
Golden Axe (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;17/12/22;1;1989
Golden Axe 2 (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;17/12/22;1;1991
Golden Axe 3 (SEGA Classics);Beat 'em Up;SEGA;Sega MegaDrive;17/12/22;1;1993
Ristar (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;18/12/22;1;1995
Super Bomberman 3;A��o;Hudson Soft;Super Nintendo;21/12/22;1,5;1995
Carrier Air Wing (Capcom Arcade Stadium);Shmup;Capcom;Arcade;23/12/22;1;1990
The Legend of Zelda;RPG de A��o;Nintendo;Nintendo 8-bits;24/12/22;8,28;1986
19XX: The War Against Destiny (Capcom Arcade Stadium);Shmup;Capcom;Arcade;24/12/22;1;1996
1944: The Loop Master (Capcom Arcade Stadium);Shmup;Capcom;Arcade;25/12/22;1,5;2000
Teenage Mutant Ninja Turtles (The Cowabunga Collection);Beat 'em Up;KONAMI;Arcade;26/12/22;1;1989
1941: Counter Attack (Capcom Arcade Stadium);Shmup;Capcom;Arcade;26/12/22;1;1990
1942 (Capcom Arcade Stadium);Shmup;Capcom;Arcade;26/12/22;1,5;1984
Senjo no Okami (Capcom Arcade Stadium);Shmup;Capcom;Arcade;26/12/22;1;1985
Progear (Capcom Arcade Stadium);Shmup;Capcom;Arcade;29/12/22;0,8;2001
Giga Wing (Capcom Arcade Stadium);Shmup;Capcom;Arcade;01/01/23;0,9;1999
Forgotten Worlds (Capcom Arcade Stadium);Shmup;Capcom;Arcade;01/01/23;1;1988
Cyberbots: Fullmetal Madness (Capcom Arcade Stadium);Luta;Capcom;Arcade;03/01/23;1;1995
Battle Circuit (Capcom Arcade Stadium);Beat 'em Up;Capcom;Arcade;03/01/23;1,3;1997
Captain Commando (Capcom Arcade Stadium);Beat 'em Up;Capcom;Arcade;04/01/23;1;1991
Dynasty Wars (Capcom Arcade Stadium);Beat 'em Up;Capcom;Arcade;06/01/23;1;1989
Warriors of Fate (Capcom Arcade Stadium);Beat 'em Up;Capcom;Arcade;07/01/23;1;1992
Varth: Operation Thunderstorm (Capcom Arcade Stadium);Shmup;Capcom;Arcade;07/01/23;1,5;1992
Super Mario 3D Land;Plataforma;Nintendo;Nintendo 3DS;08/01/23;4,45;2011
New Super Mario Bros. 2;Plataforma;Nintendo;Nintendo 3DS;08/01/23;3,65;2012
Vulgus (Capcom Arcade Stadium);Shmup;Capcom;Arcade;10/01/23;0,78;1984
Mighty Final Fight;Beat 'em Up;Capcom;Nintendo 8-bits;11/01/23;1,2;1993
Senjo no Okami II (Capcom Arcade Stadium);Shmup;Capcom;Arcade;11/01/23;1,1;1990
Legendary Wings (Capcom Arcade Stadium);Shmup;Capcom;Arcade;11/01/23;1,6;1986
Super Smash Bros. For Wii U;Luta;Nintendo HAL;Nintendo Wii U;12/01/23;0,25;2014
Super Bomberman 4;Plataforma;Hudson Soft;Super Nintendo;14/01/23;1,08;1996
Super Bomberman 5;Plataforma;Hudson Soft;Super Nintendo;16/01/23;1,4;1997
SectionZ;Shmup;Capcom;Arcade;17/01/23;0,21;1985
The Legend of Zelda: Ocarina of Time 3D;RPG de A��o;Nintendo;Nintendo 3DS;20/01/23;22,6;2011
Teenage Mutant Ninja Turtles: Turtles in Time (The Cowabunga Collection);Beat 'em Up;KONAMI;Arcade;21/01/23;0,85;1991
Teenage Mutant Ninja Turtles IV: Turtles in Time (The Cowabunga Collection);Beat 'em Up;KONAMI;Super Nintendo;21/01/23;0,55;1992
Pirate Ship Higemaru (Capcom Arcade Stadium);Plataforma;Capcom;Arcade;24/01/23;0,8;1984
Powered Gear - Strategic Variant Armor Equipment (Capcom Arcade Stadium);Beat 'em Up;Capcom;Arcade;24/01/23;1;1994
Strider (Capcom Arcade Stadium);Plataforma;Capcom;Arcade;24/01/23;0,9;1989
Tatakai no Banka (Capcom Arcade Stadium);Plataforma;Capcom;Arcade;24/01/23;1;1986
Hi-Fi Rush;Plataforma;Tango Gameworks;PC;28/01/23;9,28;2023
Ghouls'n Ghosts (Capcom Arcade Stadium);Plataforma;Capcom;Arcade;29/01/23;1;1988
Teenage Mutant Ninja Turtles: The Hyperstone Heist (The Cowabunga Collection);Beat 'em Up;KONAMI;Sega MegaDrive;29/01/23;1;1992
Teenage Mutant Ninja Turtles II: The Arcade Game;Beat 'em Up;KONAMI;Nintendo 8-bits;30/01/23;1,5;1990
Teenage Mutant Ninja Turtles: Fall of the Foot Clan;Plataforma;KONAMI;Gameboy;31/01/23;0,6;1990
Teenage Mutant Ninja Turtles II: Back from the Sewers;Plataforma;KONAMI;Gameboy;31/01/23;0,8;1991
High on Life;Tiro em Primeira Pessoa;Squanch Games;PC;05/02/23;11,52;2022
Ori and the Blind Forest;Metroidvania;Microsoft Studios;PC;11/02/23;6,03;2015
Atomic Heart;Tiro em Primeira Pessoa;Mundfish;PC;04/03/23;21;2023
Kirby and the Forgotten Land;Plataforma;Nintendo HAL;Nintendo Switch;18/03/23;10;2022
Game Dev Story;Gerenciamento;Kairosoft;PC;23/03/23;9,6;2010
Super Smash Bros. Ultimate;Luta;Nintendo HAL;Nintendo Switch;25/03/23;26,5;2018
Call of Duty: Infinite Warfare;Tiro em Primeira Pessoa;Activision;PC;28/03/23;11,2;2016
Bright Memory;Tiro em Primeira Pessoa;FYQD Studio;PC;28/03/23;0,6;2020
Mario Kart 8;Corrida;Nintendo ;Nintendo Wii U;15/04/23;5,3;2017
Bayonetta;Hack and Slash;SEGA;Nintendo Wii U;20/04/23;13,66;2009
Bayonetta 2;Hack and Slash;SEGA;Nintendo Wii U;21/04/23;7,65;2014
Marvel's Avengers;Aventura;Crystal Dynamics;PC;03/05/23;14,32;2020
Mega Man - The Power Battle;Luta;Capcom;Arcade;08/05/23;0,5;1995
Mega Man 2 - The Power Fighters;Luta;Capcom;Arcade;08/05/23;0,2;1996
Batman;Plataforma;Data East;Arcade;10/05/23;0,5;1990
The Punisher;Beat 'em Up;Capcom;Arcade;10/05/23;1;1993
Battle Toads (1992);Beat 'em Up;RARE;Arcade;20/05/23;1;1992
Resident Evil 4 Remake;Survival Horror;Capcom;PC;27/05/23;16,5;2023
Cadillac and Dinossaurs;Beat 'em Up;Capcom;Arcade;30/05/23;1,25;1993
Samurai Shodown (2019);Luta;SNK;PC;18/06/23;0,25;2019
Forza Horizon 4;Corrida;Playground Games;PC;23/06/23;48,2;2018
Garou - Mark of the Wolves;Luta;SNK;Arcade;25/06/23;0,75;1999
Akai Katana;Shmup;Cave;Arcade;25/06/23;0,8;2010
Sunset Riders;Plataforma;KONAMI;Arcade;25/06/23;0,75;1991
Wild West C.O.W. Boys of Moo Mesa;Plataforma;KONAMI;Arcade;26/06/23;1;1992
Vasara;Shmup;Visco Corporation;Arcade;26/06/23;0,8;2000
Vasara 2;Shmup;Visco Corporation;Arcade;26/06/23;0,9;2001
V Rising;RPG;Stunlock Studios;PC;14/07/23;27,6;2022
Final Fantasy XII: The Zodiac Age ;RPG;Square Enix;PC;29/07/23;42;2017
Crash Bandicoot 4: It's About Time;Plataforma;Activision;PC;02/08/23;8,83;2020
UFC Sudden Impact;Luta;Global Star;PlayStation 2;13/08/23;2;2004
Tekken: Tag Tournament;Luta;Namco Bandai;PlayStation 2;13/08/23;0,22;2000
Dead or Alive 2;Luta;Tecmo;PlayStation 2;14/08/23;0,25;2000
The King of Fighters 2006;Luta;SNK;PlayStation 2;14/08/23;0,67;2006
UFC Undisputed 3;Luta;THQ Nordic;Xbox 360;23/08/23;12;2012
Street Fighter Alpha 2 Gold;Luta;Capcom;PlayStation;30/08/23;0,76;1996
Street Fighter Alpha - Warriors' Dream ;Luta;Capcom;PlayStation;31/08/23;0,78;1995
Castlevania;Plataforma;KONAMI;Nintendo 8-bits;02/09/23;2,7;1987
Castlevania II: Simon's Quest;Plataforma;KONAMI;Nintendo 8-bits;05/09/23;6;1988
Castlevania III: Dracula's Curse;Plataforma;KONAMI;Nintendo 8-bits;06/09/23;2;1990
Super Castlevania IV;Plataforma;KONAMI;Super Nintendo;06/09/23;6;1991
Castlevania: The Adventure;Plataforma;KONAMI;Gameboy;06/09/23;1;1989
Castlevania II: Belmont's Revenge;Plataforma;KONAMI;Gameboy;07/09/23;2;1991
Castlevania: Bloodlines;Plataforma;KONAMI;Sega MegaDrive;14/09/23;3;1994
Kid Dracula;Plataforma;KONAMI;Nintendo 8-bits;15/09/23;2;1990
Mass Effect;RPG;EA Games;PC;21/09/23;17;2007
UFC Throwdown;Luta;Crave Entertainment;Nintendo GameCube;26/09/23;0,25;2002
Mass Effect 2;RPG;EA Games;PC;30/09/23;28,51;2010
Mass Effect 3;RPG;EA Games;PC;07/10/23;30,12;2012
Disney's DuckTales (Disney's Afternoon Collection);Plataforma;Capcom;Nintendo 8-bits;08/10/23;1;1989
Disney's Chip 'n Dale: Rescue Rangers (Disney's Afternoon Collection);Plataforma;Capcom;Nintendo 8-bits;08/10/23;1;1990
Disney's TaleSpin (Disney's Afternoon Collection);Shmup;Capcom;Nintendo 8-bits;08/10/23;1;1991
Disney's Darkwing Duck (Disney's Afternoon Collection);Plataforma;Capcom;Nintendo 8-bits;08/10/23;1;1992
Disney's DuckTales 2 (Disney's Afternoon Collection);Plataforma;Capcom;Nintendo 8-bits;09/10/23;0,8;1993
Disney's Chip 'n Dale: Rescue Rangers 2 (Disney's Afternoon Collection);Plataforma;Capcom;Nintendo 8-bits;09/10/23;0,83;1994
Fire Emblem Warriors;Hack and Slash;Team Ninja;Nintendo Switch;16/10/23;8,95;2017
Super Mario Bros. Wonder;Plataforma;Nintendo;Nintendo Switch;27/10/23;11,2;2023
Donkey Kong;Plataforma;Nintendo;Nintendo 8-bits;07/12/23;0,1;1981
Super Meat Boy;Plataforma;Thunderful Group;PC;22/12/23;10,3;2010
Need For Speed (2015);Corrida;EA Games;PC;24/12/23;19,87;2015
Need For Speed: Payback;Corrida;EA Games;PC;28/12/23;15,92;2017
Alien Soldier (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;01/01/24;2,52;1995
Wonder Boy III: Monster Lair (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;01/01/24;1,9;1988
Flicky (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;01/01/24;1,88;1991
Bio-hazard Battle (SEGA Classics);Shmup;SEGA;Sega MegaDrive;01/01/24;1,25;1992
Hellblade: Senua's Sacrifice;A��o;Ninja Theory;PC;05/01/24;8,85;2017
Star Wars: The Force Unleashed;Hack and Slash;Lucasfilm Games;PC;06/01/24;9,55;2008
Star Wars: The Force Unleashed 2;Hack and Slash;Lucasfilm Games;PC;10/01/24;5,55;2010
Spyro: Ripto's Rage (Reignited Trilogy);Plataforma;Activision;PC;13/01/24;6;2018
Spyro: Year of the Dragon (Reignited Trilogy);Plataforma;Activision;PC;15/01/24;6;2018
Resident Evil Revelations 2;Survival Horror;Capcom;PC;22/01/24;8,2;2015
Tekken 8;Luta;Namco Bandai;PC;27/01/24;4;2024
Evoland;RPG;Shiro Games;PC;16/02/24;3;2013
Monument Valley 2;Puzzle;Ustwo Games;Mobile;17/02/24;2;2017
Hyper Dyne Side Arms (Capcom Arcade Stadium 2);Shmup;Capcom;Arcade;22/02/24;0,5;1986
Street Fighter III: New Generation (Street Fighter 30th Anniversary Collection);Luta;Capcom;Arcade;23/02/24;0,55;1997
Street Fighter III: 2nd Impact - Giant Attack (Street Fighter 30th Anniversary Collection);Luta;Capcom;Arcade;23/02/24;0,65;1997
Street Fighter III: 3rd Impact (Street Fighter 30th Anniversary Collection);Luta;Capcom;Arcade;23/02/24;0,7;1999
Street Fighter (Capcom Arcade Stadium 2);Luta;Capcom;Arcade;23/02/24;1,5;1987
Vampire Savior: The Lord of Vampire (Capcom Arcade Stadium 2);Luta;Capcom;Arcade;25/02/24;0,6;1997
Block Block (Capcom Arcade Stadium 2);Puzzle;Capcom;Arcade;26/02/24;0,5;1991
Darkstalkers: The Night Warriors (Capcom Arcade Stadium 2);Luta;Capcom;Arcade;26/02/24;0,5;1994
Night Warriors: Darkstalkers' Revenge (Capcom Arcade Stadium 2);Luta;Capcom;Arcade;26/02/24;0,5;1994
Magic Sword (Capcom Arcade Stadium 2);Plataforma;Capcom;Arcade;26/02/24;1,1;1990
Eco Fighters (Capcom Arcade Stadium 2);Shmup;Capcom;Arcade;27/02/24;1;1994
1943: Kai (Capcom Arcade Stadium 2);Shmup;Capcom;Arcade;01/03/24;2;1987
Last Duel (Capcom Arcade Stadium 2);Shmup;Capcom;Arcade;06/03/24;1,5;1988
Rally 2011 Led Storm (Capcom Arcade Stadium 2);Corrida;Capcom;Arcade;06/03/24;0,5;1988
Don't Pull (Capcom Arcade Stadium 2);Puzzle;Capcom;Arcade;06/03/24;0,5;1991
Chariot (Capcom Arcade Stadium 2);Shmup;Capcom;Arcade;06/03/24;0,8;1991
Dead or Alive 4;Luta;Team Ninja;Xbox 360;09/03/24;0,5;2005
The King of Dragons (Capcom Arcade Stadium 2);Beat 'em Up;Capcom;Arcade;13/03/24;1,33;1991
Sonson (Capcom Arcade Stadium 2);Plataforma;Capcom;Arcade;13/03/24;0,4;1984
Black Tiger (Capcom Arcade Stadium 2);Plataforma;Capcom;Arcade;14/03/24;2;1987
Knights of the Rounds (Capcom Arcade Stadium 2);Beat 'em Up;Capcom;Arcade;15/03/24;0,75;1991
Savage Bees (Capcom Arcade Stadium 2);Shmup;Capcom;Arcade;15/03/24;1,25;1985
Midnight Wanderers (Capcom Arcade Stadium 2);Plataforma;Capcom;Arcade;15/03/24;1;1991
Shinobi III: Return of the Ninja Master (SEGA Classics);Plataforma;SEGA;Sega MegaDrive;16/03/24;2;1993
Dead or Alive 5 Ultimate;Luta;Toei Ninja;Xbox 360;18/03/24;3;2013
Doom (2016);Tiro em Primeira Pessoa;Bethesda;PC;31/03/24;19;2016
Rise of the Tomb Raider;Aventura;Square Enix;PC;03/04/24;11,3;2015
Sniper Elite V2 Remastered;Tiro em Terceira Pessoa;Rebellion;PC;06/04/24;6;2019
Bright Memory: Infinite;Tiro em Primeira Pessoa;FYQD Studio;PC;16/04/24;2;2021
Virtua Fighter 5;Luta;SEGA;Xbox 360;18/04/24;0,15;2006
Neogeo Battle Coliseum;Luta;SNK;Xbox 360;18/04/24;0,2;2005
Doom 64;Tiro em Primeira Pessoa;Bethesda;PC;21/04/24;9,55;1997
Driver: You Are The Wheelman;Corrida;Reflections Game;PlayStation;30/04/24;5,25;1999
Vigilante 8;Combate Veicular;Activision;PlayStation;05/05/24;6,02;1998
Castlevania: Lords of Shadow;Hack and Slash;KONAMI;PC;09/05/24;24,55;2013
The Legend of Zelda: Tears of the Kingdom;Aventura;Nintendo;Nintendo Switch;01/06/24;76,22;2023
ARMS;Luta;Nintendo;Nintendo Switch;04/06/24;1;2017
Hyrule Warriors: Age of Calamity;Hack and Slash;Koei Tecmo;Nintendo Switch;08/06/24;23;2020
Contra: Operation Galuga;Run and Gun;KONAMI;Nintendo Switch;11/06/24;1,8;2024
Halo: Reach (The Master Chief Collection);Tiro em Primeira Pessoa;343 Industries;PC;17/06/24;9,5;2014
Fist of the North Star;Beat 'em Up;Toei Animation;Nintendo 8-bits;22/06/24;1;1989
Fist of the North Star (2005);Luta;SEGA;PlayStation 2;22/06/24;3;2005
Halo CE Anniversary (The Master Chief Collection);Tiro em Primeira Pessoa;343 Industries;PC;24/06/24;15;2014
Street Fighter EX Plus Alpha;Luta;Capcom;PlayStation;26/06/24;1;1997
Double Dragon;Beat 'em Up;Technos Japan;Nintendo 8-bits;14/07/24;1,25;1987
Double Dragon II: The Revenge;Beat 'em Up;Technos Japan;Nintendo 8-bits;16/07/24;2;1988
Double Dragon III: The Sacred Stones;Beat 'em Up;Technos Japan;Nintendo 8-bits;17/07/24;1,57;1990
Double Dragon Advance;Beat 'em Up;Atlus;Gameboy Advanced;18/07/24;1,35;2003
Double Dragon V: The Shadow Falls;Luta;Leland Interactive Media;Super Nintendo;18/07/24;0,33;1994
Wild Guns Reloaded;Shmup;Natsumi Atari Inc.;PC;20/07/24;2;2018
Alex Kidd in Miracle World DX;Plataforma;Merge Games;PC;21/07/24;3,12;2021
Metal Slug 2: Super Vehicle-001 (Metal Slug Anthology);Run and Gun;SNK;Arcade;21/07/24;1;1998
Metal Slug: Super Vehicle-001 (Metal Slug Anthology);Run and Gun;SNK;Arcade;21/07/24;1;1996
Metal Slug 3 (Metal Slug Anthology);Run and Gun;SNK;Arcade;21/07/24;1;2000
Metal Slug 4 (Metal Slug Anthology);Run and Gun;SNK;Arcade;21/07/24;1;2002
Metal Slug 5 (Metal Slug Anthology);Run and Gun;SNK;Arcade;21/07/24;1;2003
Metal Slug 6 (Metal Slug Anthology);Run and Gun;SNK;Arcade;21/07/24;1;2006
Metal Slug XX;Run and Gun;SNK;PlayStation Portable;21/07/24;1;2010
Metal Slug Advance;Run and Gun;SNK;Gameboy Advanced;22/07/24;1;2004
Mighty Morphin Power Rangers;Beat 'em Up;Namco Bandai;Super Nintendo;27/07/24;1,3;1994
Mighty Morphin Power Rangers - The Movie;Beat 'em Up;Namco Bandai;Super Nintendo;27/07/24;1,67;1995
Gunstar Heroes;Plataforma;Treasure;Sega MegaDrive;27/07/24;2,25;1993
Gran Turismo 3: A-Spec;Corrida;Polyphony Digital;PlayStation 2;28/07/24;56;2001
Gran Turismo Concept 2002 Tokyo-Geneva;Corrida;Polyphony Digital;PlayStation 2;02/08/24;4,22;2002
Gran Turismo 4 Prologue;Corrida;Polyphony Digital;PlayStation 2;04/08/24;5,56;2003
Super Mario World 2: Yoshi's Island;Plataforma;Nintendo;Super Nintendo;06/08/24;9;1995
Gran Turismo 4;Corrida;Polyphony Digital;PlayStation 2;24/08/24;62,45;2004
Hogwarts Legacy;RPG de A��o;Avalanche Studios;PC;28/08/24;24;2023
Prodeus;FPS;Bounding Box Software;PC;01/09/24;11;2020
Gotham Knights;Aventura;Warner Bros. Interactive;PC;04/09/24;24;2022
Dirge of Cerberus: Final Fantasy VII;Aventura;Square Enix;PlayStation 2;10/09/24;10;2006
Uncharted 4: A Thief's End;Aventura;Naughty Dog;PC;29/09/24;12,2;2016
Uncharted: The Lost Legacy;Aventura;Naughty Dog;PC;29/09/24;5,4;2017
God of War: Ragnarok ;Hack and Slash;Santa Monica Studios;PC;20/10/24;27;2022
Dragon Ball: FighterZ;Luta;Arc System Works;PC;28/10/24;10,45;2018
Shotgun King: The Final Checkmate;Puzzle;Punkcake Delicieux;PC;14/11/24;1,25;2022
Barbie: Super Model;Plataforma;Hi-Tech Expressions;Super Nintendo;21/11/24;0,58;1993
Super Mario Land;Plataforma;Nintendo;GameBoy;21/11/24;1;1989
Tekken: Dark Ressurection;Luta;Namco Bandai;PlayStation Portable;24/11/24;30;2006
Senua's Saga: Hellblade II;Aventura;Ninja Theory;PC;30/11/24;10,5;2024
Balloon Fight;Plataforma;Nintendo;Nintendo 8-bits;02/12/24;16;1984
Super Mario Land 2 - 6 Golden Coins;Plataforma;Nintendo;Gameboy;05/12/24;2,5;1992
World's Scariest Police Chases;Combate Veicular;Unique Studios;PlayStation;07/12/24;6;2001
007 Racing;Combate Veicular;Electronic Arts;PlayStation;09/12/24;5;2000
Fatal Fury: Wild Ambition;Luta;SNK;PlayStation;09/12/24;0,5;1999
Ghost in the Shell;Ação;Production I.G.;PlayStation;10/12/24;3;1997
Guilty Gear;Luta;Arc System Works;PlayStation;18/12/24;0,33;1998
Gex;Plataforma;Crystal Dynamics;PlayStation;19/12/24;8;1995
Pandemonium!;Plataforma;Crystal Dynamics;PlayStation;20/12/24;7;1996
Pandemonium 2;Plataforma;Crystal Dynamics;PlayStation;21/12/24;3;1997
Bloody Roar;Luta;Hudson Soft;PlayStation;22/12/24;0,5;1998
Bloody Roar 2;Luta;Hudson Soft;PlayStation;22/12/24;0,5;1999
Medal of Honor;Tiro em Primeira Pessoa;Electronic Arts;PlayStation;26/12/24;14;1999
Medal of Honor: Underground;Tiro em Primeira Pessoa;Electronic Arts;PlayStation;29/12/24;10;2000
Titanfall 2;Tiro em Primeira Pessoa;Respawn Entertainment;PC;31/12/24;5.5;2017
Capcom vs. SNK Pro;Luta;Capcom;PlayStation;02/01/25;1;1999
Pac-Man World;Plataforma;Namco Bandai;PlayStation;02/01/25;5,5;1999
The King of Fighters '95;Luta;SNK;PlayStation;04/01/25;1;1995
Marvel Super Heroes;Luta;Capcom;PlayStation;04/01/25;0,5;1997
Marvel Super Heroes vs Street Fighter;Luta;Capcom;PlayStation;04/01/25;1;1999
Marvel vs. Capcom: Clash of Super Heroes;Luta;Capcom;PlayStation;05/01/25;1;2000
Ms. Pac-Man: Maze Madness;Plataforma;Namco Bandai;PlayStation;12/01/25;7,16;2000